id,transit_score,walkscore,hood,crime,serious crime,prostitution,family vs single,expensiveness,Age,active,arts,nightlife,restaurants,shopping
343993,48.0,65.0769230769,Pinehurst,0.0497486287284,-0.0219323149286,-0.0532553963006,0.0249663789157,-0.0809359408194,0.0857290700206,26.0,10.0,4.0,10.0,65.0
343996,40.6315789474,42.7894736842,View Ridge,0.0684431804256,-0.0219323149286,-0.081510189523,0.104460237484,0.0624346457455,0.131537097045,28.0,12.0,4.0,4.0,79.0
343998,55.625,82.875,Northgate,0.0209588360108,-0.0219323149286,-0.0179106245365,-0.0865457644384,-0.141919339278,0.112067856265,20.0,13.0,3.0,33.0,182.0
343999,55.9583333333,67.2083333333,North College Park,0.0242275473044,-0.0158226881416,-0.0375948497974,-0.0584908449232,-0.0363866968318,-0.114775633517,20.0,14.0,3.0,15.0,73.0
344000,51.28,62.04,Maple Leaf,0.0320774531376,-0.0219323149286,0.0243023714309,0.0190583096275,-0.0225066214588,-0.0383337351663,37.0,21.0,14.0,62.0,199.0
344001,43.125,66.4583333333,Wedgwood,0.0458026726759,-0.0117496036169,-0.0117266753497,0.090535970167,0.0164167978328,0.0136142868203,37.0,14.0,11.0,27.0,94.0
344002,55.8235294118,84.5294117647,Roosevelt,0.0456673356387,-0.0219323149286,-0.0590275933191,-0.0260604889204,0.0061415536653,-0.164114655235,34.0,11.0,10.0,25.0,104.0
344003,46.3333333333,72.6666666667,Bryant,0.0633602325807,-0.0219323149286,-0.0739359797565,0.0860040820532,0.071791848375,-0.0211104485633,32.0,9.0,4.0,11.0,93.0
344004,43.6666666667,54.0,Hawthorne Hills,0.075674426818,-0.0219323149286,-0.106360143094,0.081959228276,0.108670915813,-0.0279547573438,23.0,8.0,4.0,2.0,82.0
344005,48.5454545455,64.8181818182,Olympic Manor,0.068448795637,-0.0219323149286,-0.102537947184,0.122152036452,0.0720582499404,0.147907372997,24.0,11.0,6.0,6.0,64.0
344006,45.2857142857,48.0,Blue Ridge,0.0677603148323,-0.0219323149286,-0.104103815031,0.0612928639574,0.0566724811805,0.0671815197573,22.0,8.0,4.0,0.0,77.0
344009,39.6666666667,28.6666666667,North Beach,0.0732244746705,-0.0219323149286,-0.10475918422,0.116787346254,0.136432031386,0.167407252487,22.0,8.0,4.0,1.0,76.0
344012,55.347826087,76.3043478261,Madison Valley,0.0711538838352,-0.0219323149286,-0.105599500826,-0.0339277456017,0.0848157367133,-0.0564087070608,27.0,10.0,7.0,13.0,91.0
344019,44.3043478261,59.7826086957,Admiral,0.0393795518723,-0.0219323149286,-0.0513774452747,0.0387484446116,0.0232959973645,0.066257026689,48.0,16.0,14.0,27.0,93.0
344023,43.84,34.48,Fauntleroy,0.0567101735001,-0.0219323149286,-0.0787545338613,0.0914237716529,-0.0148093384893,0.139863160832,34.0,12.0,5.0,9.0,79.0
344024,38.625,23.8125,Arbor Heights,0.0583543953608,-0.0219323149286,-0.0698268704363,0.134101627799,-0.103825279573,0.0658365730256,23.0,8.0,4.0,0.0,75.0
344029,49.8181818182,57.1818181818,Highland Park,0.0426038943156,-0.0209140437974,-0.010048491277,0.0904326233922,-0.145337253194,-0.111830246313,29.0,9.0,4.0,4.0,86.0
344030,50.1052631579,65.8947368421,Roxhill,0.0343443931141,-0.0219323149286,-0.0622076483849,0.0597885828796,-0.112995241872,-0.0381977264777,28.0,13.0,7.0,11.0,74.0
344031,53.2,70.3,South Delridge,0.0248721177757,-0.0198957726663,0.0599893554282,0.040754306782,-0.163888787069,-0.0669255405286,25.0,11.0,11.0,19.0,100.0
344033,47.0,54.4375,High Point,0.0406407627585,-0.0219323149286,0.00292204861943,0.0293074577021,-0.146297010798,-0.147502422163,25.0,10.0,3.0,5.0,61.0
344034,42.5882352941,37.8235294118,Riverview,0.0666291163508,-0.0219323149286,-0.0780161832489,0.119485176856,-0.119597316033,-0.109663046512,31.0,11.0,5.0,4.0,89.0
